,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2018-5-15,1797081.0,4189.0,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",1797081.0,4189.0,429.0,,0.007455507455507382,0.007455507455507382
2018-4-15,1783782.0,4158.0,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",1783782.0,4158.0,429.0,,0.002169197396963085,0.002169197396963085
2018-3-15,1779921.0,4149.0,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",1779921.0,4149.0,429.0,,0.02393879565646584,0.02393879565646584
2018-2-15,1738308.0,4052.0,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",1738308.0,4052.0,429.0,,0.017834714895754944,0.017834714895754944
2018-1-15,1707849.0,3981.0,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",1707849.0,3981.0,429.0,,0.04160125588697028,0.04160125588697028
2017-12-15,1639638.0,3822.0,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",1639638.0,3822.0,429.0,,0.02963362068965525,0.02963362068965525
2017-11-15,1592448.0,3712.0,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",1592448.0,3712.0,429.0,,,
2017-10-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2017-9-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2017-8-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2017-7-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2017-6-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2017-5-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2017-4-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2017-3-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2017-2-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2017-1-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2016-12-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2016-11-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2016-10-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2016-9-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2016-8-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2016-7-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2016-6-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2016-5-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2016-4-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2016-3-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2016-2-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,,,
2016-1-15,,,"HUNG CHEONG HSE,TUNG MING ST|鴻昌大廈,通明街",,,429.0,429.0,,
