,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,45995592.5,25371.5,2,91991185.0,50743.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",41799505.0,25135.0,1663.0,50191680.0,25608.0,1960.0,-0.016987706146477932,-0.016989538938395943
2019-11-15,46790455.0,25810.0,2,93580910.0,51620.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",42522910.0,25570.0,1663.0,51058000.0,26050.0,1960.0,0.027083651550014798,0.027079727014067023
2019-10-15,45556615.5,25129.5,2,91113231.0,50259.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",41403711.0,24897.0,1663.0,49709520.0,25362.0,1960.0,-0.020412709756191805,-0.021017569831314087
2019-9-15,46505927.5,25669.0,2,93011855.0,51338.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",42614375.0,25625.0,1663.0,50397480.0,25713.0,1960.0,-0.030791901416548417,-0.030791595083917045
2019-8-15,47983428.5,26484.5,2,95966857.0,52969.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",43968057.0,26439.0,1663.0,51998800.0,26530.0,1960.0,0.002270299606962789,0.002270620068496987
2019-7-15,47874738.5,26424.5,2,95749477.0,52849.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",43868277.0,26379.0,1663.0,51881200.0,26470.0,1960.0,0.002845950960387089,0.0028463538207557093
2019-6-15,47738876.0,26349.5,2,95477752.0,52699.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",43743552.0,26304.0,1663.0,51734200.0,26395.0,1960.0,-0.009156787828605517,-0.009156544955439383
2019-5-15,48180050.5,26593.0,2,96360101.0,53186.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",44147661.0,26547.0,1663.0,52212440.0,26639.0,1960.0,0.018417989715595606,0.01842064950980382
2019-4-15,47308719.0,26112.0,2,94617438.0,52224.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",43347758.0,26066.0,1663.0,51269680.0,26158.0,1960.0,0.024964275582983753,0.024964672633066343
2019-3-15,46156456.5,25476.0,2,92312913.0,50952.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",42291753.0,25431.0,1663.0,50021160.0,25521.0,1960.0,0.02354347352350339,0.02354359180393728
2019-2-15,45094769.0,24890.0,2,90189538.0,49780.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",41318898.0,24846.0,1663.0,48870640.0,24934.0,1960.0,0.016583218459442328,0.016582257801012856
2019-1-15,44359151.5,24484.0,2,88718303.0,48968.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",40645383.0,24441.0,1663.0,48072920.0,24527.0,1960.0,0.042514671982559094,0.0425155947286624
2018-12-15,42550146.0,23485.5,2,85100292.0,46971.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",38987372.0,23444.0,1663.0,46112920.0,23527.0,1960.0,-0.07164687392229996,-0.07164597991936117
2018-11-15,45834009.5,25298.0,2,91668019.0,50596.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",41995739.0,25253.0,1663.0,49672280.0,25343.0,1960.0,0.027871828531441212,0.027872582480090946
2018-10-15,44591172.0,24612.0,2,89182344.0,49224.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",40856584.0,24568.0,1663.0,48325760.0,24656.0,1960.0,-0.04281890430416535,-0.04281880760704704
2018-9-15,46585930.5,25713.0,2,93171861.0,51426.0,3623,"STAR SKY MANS,CULLINAN WEST,SHAM MONG RD|星鑽匯(匯璽),深旺道",42684221.0,25667.0,1663.0,50487640.0,25759.0,1960.0,-0.04916370428787886,-0.0491633539798465
