,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,45989623.5,25368.0,2,91979247.0,50736.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",41789527.0,25129.0,1663.0,50189720.0,25607.0,1960.0,-0.01697240218803342,-0.01697279702394794
2019-11-15,46783654.5,25806.0,2,93567309.0,51612.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",42511269.0,25563.0,1663.0,51056040.00000001,26049.0,1960.0,0.027068946211334266,0.02706359945872805
2019-10-15,45550646.5,25126.0,2,91101293.0,50252.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",41393733.0,24891.0,1663.0,49707560.0,25361.0,1960.0,-0.020377166857853513,-0.020982290712852403
2019-9-15,46498147.0,25664.5,2,92996294.0,51329.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",42602734.0,25618.0,1663.0,50393560.0,25711.0,1960.0,-0.030796895124793333,-0.030796827794561943
2019-8-15,47975648.0,26480.0,2,95951296.0,52960.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",43956416.0,26432.0,1663.0,51994880.0,26528.0,1960.0,0.0022706686311673163,0.002271006813020504
2019-7-15,47866958.0,26420.0,2,95733916.0,52840.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",43856636.0,26372.0,1663.0,51877280.0,26468.0,1960.0,0.002846414870155245,0.002846840007591611
2019-6-15,47731095.5,26345.0,2,95462191.0,52690.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",43731911.0,26297.0,1663.0,51730280.0,26393.0,1960.0,-0.009158266778792057,-0.009158094664986738
2019-5-15,48172270.0,26588.5,2,96344540.0,53177.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",44136020.0,26540.0,1663.0,52208520.0,26637.0,1960.0,0.018403116838968225,0.0184043205147848
2019-4-15,47301770.0,26108.0,2,94603540.0,52216.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",43337780.0,26060.0,1663.0,51265760.0,26156.0,1960.0,0.02496803459928576,0.02496859296482401
2019-3-15,46149507.5,25472.0,2,92299015.0,50944.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",42281775.0,25425.0,1663.0,50017240.0,25519.0,1960.0,0.02354710207767874,0.023547376034718237
2019-2-15,45087820.0,24886.0,2,90175640.0,49772.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",41308920.0,24840.0,1663.0,48866720.0,24932.0,1960.0,0.016563354839306044,0.01656420416249671
2019-1-15,44353182.5,24480.5,2,88706365.0,48961.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",40635405.0,24435.0,1663.0,48070960.0,24526.0,1960.0,0.04252063684296914,0.04252193169236018
2018-12-15,42544177.0,23482.0,2,85088354.0,46964.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",38977394.0,23438.0,1663.0,46110959.99999999,23526.0,1960.0,-0.07165620576773302,-0.07165589357370183
2018-11-15,45828040.5,25294.5,2,91656081.0,50589.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",41985761.0,25247.0,1663.0,49670320.0,25342.0,1960.0,0.027875559969974706,0.02787654672166129
2018-10-15,44585203.0,24608.5,2,89170406.0,49217.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",40846606.0,24562.0,1663.0,48323800.0,24655.0,1960.0,-0.042787165226613744,-0.042787404943890106
2018-9-15,46578150.0,25708.5,2,93156300.0,51417.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",42672580.0,25660.0,1663.0,50483720.0,25757.0,1960.0,-0.04919053413822749,-0.049189119218891575
2018-8-15,48987890.5,27038.5,2,97975781.0,54077.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",44879381.0,26987.0,1663.0,53096400.0,27090.0,1960.0,0.0001479359872449404,0.00014795908931186652
2018-7-15,48980644.5,27034.5,2,97961289.0,54069.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",44872729.0,26983.0,1663.0,53088560.0,27086.0,1960.0,0.0384291868455946,0.03843051394330499
2018-6-15,47168016.0,26034.0,2,94336032.0,52068.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",43211392.0,25984.0,1663.0,51124640.0,26084.0,1960.0,0.005599947733039512,0.00560083433118308
2018-5-15,46905348.5,25889.0,2,93810697.0,51778.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",42970257.0,25839.0,1663.0,50840440.0,25939.0,1960.0,0.0016424743137897213,0.001644323215909349
2018-4-15,46828434.0,25846.5,2,93656868.0,51693.0,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",42898748.0,25796.0,1663.0,50758120.0,25897.0,1960.0,,
2018-3-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2018-2-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2018-1-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2017-12-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2017-11-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2017-10-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2017-9-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2017-8-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2017-7-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2017-6-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2017-5-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2017-4-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2017-3-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2017-2-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2017-1-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2016-12-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2016-11-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2016-10-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2016-9-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
2016-8-15,,,2,,,3623,"STAR SKY MANS(CULLINAN WEST),SHAM MONG RD|星鑽匯(匯璽),深旺道",,,1663.0,,,1960.0,,
