,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,8391350.0,17666.0,1,8391350,17666,475,2 SQUARE ST|2 四方街,8391350.0,17666.0,475.0,-0.07104169953199768,-0.07104169953199768
2019-11-15,9033075.0,19017.0,1,9033075,19017,475,2 SQUARE ST|2 四方街,9033075.0,19017.0,475.0,0.05773402302686459,0.05773402302686459
2019-10-15,8540025.0,17979.0,1,8540025,17979,475,2 SQUARE ST|2 四方街,8540025.0,17979.0,475.0,-0.14928551149806002,-0.14928551149806002
2019-9-15,10038650.0,21134.0,1,10038650,21134,475,2 SQUARE ST|2 四方街,10038650.0,21134.0,475.0,0.10620256477361956,0.10620256477361956
2019-8-15,9074875.0,19105.0,1,9074875,19105,475,2 SQUARE ST|2 四方街,9074875.0,19105.0,475.0,-0.04973887092762996,-0.04973887092762996
2019-7-15,9549875.0,20105.0,1,9549875,20105,475,2 SQUARE ST|2 四方街,9549875.0,20105.0,475.0,0.08073966564532609,0.08073966564532609
2019-6-15,8836425.0,18603.0,1,8836425,18603,475,2 SQUARE ST|2 四方街,8836425.0,18603.0,475.0,-0.012369929921427048,-0.012369929921427048
2019-5-15,8947100.0,18836.0,1,8947100,18836,475,2 SQUARE ST|2 四方街,8947100.0,18836.0,475.0,0.046793375569634366,0.046793375569634366
2019-4-15,8547150.0,17994.0,1,8547150,17994,475,2 SQUARE ST|2 四方街,8547150.0,17994.0,475.0,0.024890357122515194,0.024890357122515194
2019-3-15,8339575.0,17557.0,1,8339575,17557,475,2 SQUARE ST|2 四方街,8339575.0,17557.0,475.0,0.024508373694345664,0.024508373694345664
2019-2-15,8140075.0,17137.0,1,8140075,17137,475,2 SQUARE ST|2 四方街,8140075.0,17137.0,475.0,0.023348859429117352,0.023348859429117352
2019-1-15,7954350.0,16746.0,1,7954350,16746,475,2 SQUARE ST|2 四方街,7954350.0,16746.0,475.0,0.0432994828982618,0.0432994828982618
2018-12-15,7624225.0,16051.0,1,7624225,16051,475,2 SQUARE ST|2 四方街,7624225.0,16051.0,475.0,,
2018-11-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2018-10-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2018-9-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2018-8-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2018-7-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2018-6-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2018-5-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2018-4-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2018-3-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2018-2-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2018-1-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2017-12-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2017-11-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2017-10-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2017-9-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2017-8-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2017-7-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2017-6-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2017-5-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2017-4-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2017-3-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2017-2-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2017-1-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2016-12-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2016-11-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2016-10-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2016-9-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2016-8-15,,,1,,,475,2 SQUARE ST|2 四方街,,,475.0,,
2016-7-15,6045800.0,12728.0,1,6045800,12728,475,2 SQUARE ST|2 四方街,6045800.0,12728.0,475.0,0.005530099541791733,0.005530099541791733
2016-6-15,6012550.0,12658.0,1,6012550,12658,475,2 SQUARE ST|2 四方街,6012550.0,12658.0,475.0,0.025022269009636444,0.025022269009636444
2016-5-15,5865775.0,12349.0,1,5865775,12349,475,2 SQUARE ST|2 四方街,5865775.0,12349.0,475.0,-0.00651649235720031,-0.00651649235720031
2016-4-15,5904250.0,12430.0,1,5904250,12430,475,2 SQUARE ST|2 四方街,5904250.0,12430.0,475.0,0.09207520646635037,0.09207520646635037
2016-3-15,5406450.0,11382.0,1,5406450,11382,475,2 SQUARE ST|2 四方街,5406450.0,11382.0,475.0,-0.16197908997202182,-0.16197908997202182
2016-2-15,6451450.0,13582.0,1,6451450,13582,475,2 SQUARE ST|2 四方街,6451450.0,13582.0,475.0,0.056553870089459446,0.056553870089459446
2016-1-15,6106125.0,12855.0,1,6106125,12855,475,2 SQUARE ST|2 四方街,6106125.0,12855.0,475.0,,
