,lumpSum_avg,npsf_avg,final_address,lumpSum_F.P.,npsf_F.P.,nfa_F.P.,lumpSum_R.P.,npsf_R.P.,nfa_R.P.,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4491465.0,8965.0,425N QUEEN'S RD W|425N 皇后大道西,4548078.0,9078.0,501.0,4434852.0,8852.0,501.0,,-0.0063729564976447994,-0.0063729564976447994
2022-11-15,4520272.5,9022.5,425N QUEEN'S RD W|425N 皇后大道西,4577136.0,9136.0,501.0,4463409.0,8909.0,501.0,,-0.05572998430141285,-0.05572998430141285
2022-10-15,4787055.0,9555.0,425N QUEEN'S RD W|425N 皇后大道西,4742967.0,9467.0,501.0,4831143.0,9643.0,501.0,,-0.07502420135527588,-0.07502420135527588
2022-9-15,5175330.0,10330.0,425N QUEEN'S RD W|425N 皇后大道西,5127735.0,10235.0,501.0,5222925.0,10425.0,501.0,,-0.02496578413327666,-0.02496578413327666
2022-8-15,5307844.5,10594.5,425N QUEEN'S RD W|425N 皇后大道西,5258997.0,10497.0,501.0,5356692.0,10692.0,501.0,,-0.015518282767272185,-0.015518282767272185
2022-7-15,5391511.5,10761.5,425N QUEEN'S RD W|425N 皇后大道西,5341662.0,10662.0,501.0,5441361.0,10861.0,501.0,,-0.049589331449262586,-0.049589331449262586
2022-6-15,5672823.0,11323.0,425N QUEEN'S RD W|425N 皇后大道西,5620218.0,11218.0,501.0,5725428.0,11428.0,501.0,,0.003856553925262629,0.003856553925262629
2022-5-15,5651029.5,11279.5,425N QUEEN'S RD W|425N 皇后大道西,5598675.0,11175.0,501.0,5703384.0,11384.0,501.0,,0.03396278302319189,0.03396278302319189
2022-4-15,5465409.0,10909.0,425N QUEEN'S RD W|425N 皇后大道西,5414808.0,10808.0,501.0,5516010.0,11010.0,501.0,,-0.008723307587460205,-0.008723307587460205
2022-3-15,5513505.0,11005.0,425N QUEEN'S RD W|425N 皇后大道西,5462403.0,10903.0,501.0,5564607.0,11107.0,501.0,,0.005298255229743365,0.005298255229743365
2022-2-15,5484447.0,10947.0,425N QUEEN'S RD W|425N 皇后大道西,5433846.0,10846.0,501.0,5535048.0,11048.0,501.0,,0.05957508590233762,0.05957508590233762
2022-1-15,5176081.5,10331.5,425N QUEEN'S RD W|425N 皇后大道西,5128236.0,10236.0,501.0,5223927.0,10427.0,501.0,,-0.11302369505494503,-0.11302369505494503
2021-12-15,5835648.0,11648.0,425N QUEEN'S RD W|425N 皇后大道西,5781540.0,11540.0,501.0,5889756.0,11756.0,501.0,,0.03321949705060545,0.03321949705060545
2021-11-15,5648023.5,11273.5,425N QUEEN'S RD W|425N 皇后大道西,5595669.0,11169.0,501.0,5700378.0,11378.0,501.0,,0.01852102814292822,0.01852102814292822
2021-10-15,5545318.5,11068.5,425N QUEEN'S RD W|425N 皇后大道西,5493966.0,10966.0,501.0,5596671.0,11171.0,501.0,,-0.06963940489198961,-0.06963940489198961
2021-9-15,5960397.0,11897.0,425N QUEEN'S RD W|425N 皇后大道西,5905287.0,11787.0,501.0,6015507.0,12007.0,501.0,,0.08395972848617372,0.08395972848617372
2021-8-15,5498725.5,10975.5,425N QUEEN'S RD W|425N 皇后大道西,5447874.0,10874.0,501.0,5549577.0,11077.0,501.0,,-0.08392454719973286,-0.08392454719973286
2021-7-15,6002481.0,11981.0,425N QUEEN'S RD W|425N 皇后大道西,5946870.0,11870.0,501.0,6058092.0,12092.0,501.0,,0.04733598496437774,0.04733598496437774
2021-6-15,5731189.5,11439.5,425N QUEEN'S RD W|425N 皇后大道西,5678334.0,11334.0,501.0,5784045.0,11545.0,501.0,,0.042846073202971846,0.042846073202971846
2021-5-15,5495719.5,10969.5,425N QUEEN'S RD W|425N 皇后大道西,5444868.0,10868.0,501.0,5546571.0,11071.0,501.0,,-0.049519105796724694,-0.049519105796724694
2021-4-15,5782041.0,11541.0,425N QUEEN'S RD W|425N 皇后大道西,5728434.0,11434.0,501.0,5835648.0,11648.0,501.0,,0.0616318645938736,0.0616318645938736
2021-3-15,5446371.0,10871.0,425N QUEEN'S RD W|425N 皇后大道西,5295570.0,10570.0,501.0,5597172.0,11172.0,501.0,,-0.010332741590422856,-0.010332741590422856
2021-2-15,5503234.5,10984.5,425N QUEEN'S RD W|425N 皇后大道西,5351181.0,10681.0,501.0,5655288.0,11288.0,501.0,,0.004113533525298196,0.004113533525298196
2021-1-15,5480689.5,10939.5,425N QUEEN'S RD W|425N 皇后大道西,5329137.0,10637.0,501.0,5632242.0,11242.0,501.0,,-0.009417304296645113,-0.009417304296645113
