,A,B,C,D,E,F,G,H,I,J,K,L
4.0,855,700,735,750,665,665,750,1064,700,974,753,753
9.0,855,714,886,800,656,656,750,732,700,974,753,753
14.0,850,700,859,730,704,656,943,732,700,974,749,749
