,A,B,C,D,E,F,G,H,I
4.0,13016604,11871145,11610170,12291840,6723900,10548455,10016000,8254220,10212384
9.0,13438217,12161435,11991265,12734160,6993600,10975340,10342772,8536710,10545535
14.0,13932357,12609025,12433850,13205192,7263765,11396265,10717746,8844640,10929646
