,2,3,5,C1,C2,C3,C3B,C4,C5
4.0,14109,13732,13918,14060,14165,13758,13261,13532,13288
9.0,14622,14315,14473,14568,14679,14291,14207,14059,14528
14.0,15143,14862,15054,15236,15018,14838,14781,14533,15117
