,5,I,J,K,L,M,M17,N,O,P
7.0,15038,15206,15154,15154,15441,15158,15181,15154,14831,15380
16.0,16195,16155,16377,16377,16485,15920,16108,16377,15998,16381
24.0,17063,17097,17218,17218,17426,17183,16848,17218,16916,17359
