,A1,A10,A1A,A1B,A2,A3,A3A,A4,A5,A5A,A6,A6A,A7,A7A,A7B,A8,A8A,A8B,A9,A9A,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,C7,C8,C9
10.0,7938093,5922930,4041694,4165470,6607656,7640168,4265025,3779567,7569578,4212234,6739140,3669828,7741550,4212234,4212234,6838080,4041694,4041694,8084932,4119024,10384555,7857884,7737054,7569578,7605908,7225175,6624905,7688877,7741402,7606924,5020590,7056480,7714056,7599340,7226912
19.0,8717133,6058650,4271773,4402341,6141168,8308136,4571400,4083673,8431686,4451370,7379190,3965766,8415950,4451370,4451370,8135520,4271773,4271773,8350196,4353348,11180215,8549706,8447984,8431686,8285674,7699720,6746173,8009589,8104348,7930828,5437899,7759236,8081052,7808780,8890266
28.0,9026585,6422910,4726782,4872177,6669828,8866480,4943895,4400935,8814408,4926822,7870320,4274496,8966710,4926822,4926822,7976400,4726782,4726782,8893088,4817580,12351355,9106648,8997058,8814408,8841486,8199945,7487872,8778525,8839880,8698654,5907414,8318356,8677956,8623692,8752282
