,A,B,C,C-E,CD,CE,D,E,F,G
9.0,12243568,9242557,12552800,,23541210,,9016415,13176394,9411900,9141250
18.0,13220288,10905987,14932840,,25525137,,9722791,15422407,10069500,9873260
27.0,14256400,11733732,16055520,,27616820,,10450805,16571016,10715181,10630120
