,2,3,4,5,D1,D2,D3,D4,D5
4.0,14725,14647,14506,14370,14639,14725,14546,14546,13979
9.0,15323,15242,15095,14954,15233,15323,15134,16554,14954
14.0,15921,15837,15684,15538,15828,15921,15725,15728,15538
