,5,I,J,K,L,M,M17,N,O,P
7.0,8346090,7298880,8334700,8334700,7411680,7275840,7286880,8334700,8157050,7382400
16.0,8988225,7754400,9007350,9007350,7912800,7641600,7731840,9007350,8798900,7862880
24.0,9469965,8206560,9469900,9469900,8364480,8247840,8087040,9469900,9303800,8332320
