,A,B,C,D,E,F,G,H,I,J,K,L
4.0,9329760,7658000,8009295,8178750,7260470,7260470,8178750,11661440,7658000,10715948,8224266,8212218
9.0,9688005,8069628,10084452,9074400,7430512,7430512,8490750,8236464,7948500,11432812,8537514,8525466
14.0,9988350,8239700,10129328,8562900,8288896,7702096,11157576,8544636,8239700,11538004,8804495,8794009
