,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,C1,C2,C4,C5
5.0,880,840,1020,835,681,820,630,340,700,700,700,820,623,505,635,1210,530
12.0,880,840,1020,835,755,820,700,,700,700,700,820,623,505,635,1210,530
19.0,880,840,1020,835,681,820,700,,700,700,700,820,850,505,635,1210,530
