,A,B,C,D,E,F,G,H,I,J,K,L,M
3.0,10123542,7466984,9494658,10044715,9480960,9412855,7671167,5768364,5782392,5703698,5444793,5316900,5067534
6.0,9834858,11317600,9465048,10212607,9683418,9280971,7761879,5800430,6326243,5912291,5013214,5829909,5133420
8.0,10249173,10782740,9488736,10366508,10234936,9102928,7698816,5799420,6418951,6375292,5111888,6337170,5231064
