,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,C1,C2,C4,C5
5.0,12387760,11864160,14784900,11791035,9104289,11572660,8314740,5268980,9906400,9834300,10049200,11572660,8275932,6500360,8445500,15896980,6874630
12.0,12738000,12474000,14544180,12398080,11176265,12167980,9860900,,10424400,10341100,10553900,12167980,8755642,6878100,8934450,16792380,7275840
19.0,13704240,13119960,15311220,13040195,10140090,12798560,10387300,,10659600,10880100,11102000,12798560,13281250,7237660,9404350,17681730,7655850
