,A,B,C,D,E,F,G,H,I,J,K,L
4.0,10912,10940,10897,10905,10918,10918,10905,10960,10940,11002,10922,10906
9.0,11331,11302,11382,11343,11327,11327,11321,11252,11355,11738,11338,11322
14.0,11751,11771,11792,11730,11774,11741,11832,11673,11771,11846,11755,11741
