,A,B,C,C-E,CD,CE,D,E,F,G
9.0,26387,23281,24140,,27090,,25835,24446,22900,25750
18.0,28492,27471,28717,,29373,,27859,28613,24500,27812
27.0,30725,29556,30876,,31780,,29945,30744,26071,29944
