,A,B,BC,C,D,E,F,G,H
7.0,8100480,8069600,,7938150,8122560,7514880,8488700,8407850,8140800
16.0,8652000,8642700,,8534900,8309280,8068800,9095900,9013400,8677920
24.0,9151200,9143200,,8919350,9034080,8570880,9159150,9130000,9171360
