,A,B,C,D,E,F,G,H,J,K,L,M
7.0,705,573,555,573,573,567,715,570,481,429,454,625
12.0,705,573,555,573,573,573,724,558,481,483,454,620
16.0,596,467,555,555,573,501,713,558,475,431,454,644
