,A1,A2,A3,A4,A5,B1,B2,C1,C2,C3,C4,C5,D1,D2
4.0,13235,12975,13399,13565,13046,13685,12758,13940,13595,13669,13602,13612,13685,12876
8.0,13648,13365,13818,13995,13445,14119,13150,14393,14026,14102,13888,14044,14119,13273
13.0,14413,13866,14433,13839,13946,14664,13635,14958,14566,14646,13858,14585,14664,13767
