,A,B,C,D,E,F,G,H,I
4.0,16332,16603,16238,15840,14460,14159,16000,15574,16032
9.0,16861,17009,16771,16410,15040,14732,16522,16107,16555
14.0,17481,17635,17390,17017,15621,15297,17121,16688,17158
