,A,B,C,D,E,F,G,H,I,J1J2
4.0,15869,16107,15870,15754,15860,15695,16613,11486,11334,15863
8.0,16416,17050,16413,16284,16401,16233,17107,11870,11762,16406
13.0,17054,17320,17055,16927,12398,17768,17768,12350,12238,17050
