,A,B,C,D,E,F,G,H,I,J
3.0,18425,18506,18374,18375,17371,18383,18467,18262,18217,18219
6.0,18848,18944,18796,18797,17741,18805,18891,18681,18635,18637
10.0,19363,19523,19402,19310,14576,19368,19456,19237,19193,19294
