,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,8595625.0,17629.0,2,17191250,35258,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",8874000.0,17748.0,500.0,8317250.0,17510.0,475.0,-0.0687511257189366,-0.06875148569768363
2019-11-15,9230212.5,18930.5,2,18460425,37861,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9529000.0,19058.0,500.0,8931425.0,18803.0,475.0,0.00105743068745201,0.001057613495148102
2019-10-15,9220462.5,18910.5,2,18440925,37821,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9519000.0,19038.0,500.0,8921925.0,18783.0,475.0,-0.004762759270177996,-0.0047629072154097285
2019-9-15,9264587.5,19001.0,2,18529175,38002,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9564500.0,19129.0,500.0,8964675.0,18873.0,475.0,-0.01234490579413694,-0.012345037295007355
2019-8-15,9380387.5,19238.5,2,18760775,38477,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9684000.0,19368.0,500.0,9076775.0,19109.0,475.0,-0.01341121593622141,-0.013410256410256394
2019-7-15,9507900.0,19500.0,2,19015800,39000,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9816000.0,19632.0,500.0,9199800.0,19368.0,475.0,-0.009146059482604718,-0.009146341463414642
2019-6-15,9595662.5,19680.0,2,19191325,39360,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9906500.0,19813.0,500.0,9284825.0,19547.0,475.0,0.006211709314549285,0.006212132832272399
2019-5-15,9536425.0,19558.5,2,19072850,39117,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9845500.0,19691.0,500.0,9227350.0,19426.0,475.0,0.09155658062476113,0.09155597722960152
2019-4-15,8736537.5,17918.0,2,17473075,35836,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9019500.0,18039.0,500.0,8453575.0,17797.0,475.0,-0.03612249626266695,-0.03612254229538181
2019-3-15,9063950.0,18589.5,2,18127900,37179,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9357500.0,18715.0,500.0,8770400.0,18464.0,475.0,-0.09511502679902917,-0.09511524326429288
2019-2-15,10016687.5,20543.5,2,20033375,41087,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",10341000.0,20682.0,500.0,9692375.0,20405.0,475.0,0.042446657109480146,0.04244684629826967
2019-1-15,9608825.0,19707.0,2,19217650,39414,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",9920000.0,19840.0,500.0,9297650.0,19574.0,475.0,,
2018-12-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2018-11-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2018-10-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2018-9-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2018-8-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2018-7-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2018-6-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2018-5-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2018-4-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2018-3-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2018-2-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2018-1-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2017-12-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2017-11-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2017-10-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2017-9-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2017-8-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2017-7-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2017-6-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2017-5-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2017-4-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2017-3-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
2017-2-15,,,2,,,975,"KAM YUK MANS,YUK SAU ST|金毓大廈,毓秀街",,,500.0,,,475.0,,
