,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,16961319.0,26001.5,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",22046998.0,27767.0,794.0,11875640.0,24236.0,490.0,,-0.0026009157363869884,-0.0025701517156722087
2022-11-15,17005549.0,26068.5,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",22106548.0,27842.0,794.0,11904550.0,24295.0,490.0,,-0.041889514299583874,-0.04047040636042398
2022-10-15,17749048.0,27168.0,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",23176066.0,29189.0,794.0,12322030.0,25147.0,490.0,,-0.030155847834601568,-0.030129944309581602
2022-9-15,18300928.0,28012.0,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",23898606.0,30099.0,794.0,12703250.0,25925.0,490.0,,-0.014680568908589042,-0.014685449972739573
2022-8-15,18573599.0,28429.5,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",24254318.0,30547.0,794.0,12892880.0,26312.0,490.0,,-0.005849365210356727,-0.005857257754309897
2022-7-15,18682882.0,28597.0,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",24396444.0,30726.0,794.0,12969320.0,26468.0,490.0,,-0.02026064283536877,-0.020264830327012318
2022-6-15,19069237.0,29188.5,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",24900634.0,31361.0,794.0,13237840.0,27016.0,490.0,,-0.007271002693802653,-0.007278292662188601
2022-5-15,19208905.0,29402.5,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",25082460.0,31590.0,794.0,13335350.0,27215.0,490.0,,-0.0054178047713878685,-0.005429083651862121
2022-4-15,19313542.0,29563.0,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",25218234.0,31761.0,794.0,13408850.0,27365.0,490.0,,0.03385232016329631,0.033852072040566616
2022-3-15,18681142.0,28595.0,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",24392474.0,30721.0,794.0,12969810.0,26469.0,490.0,,-0.043940089414796546,-0.04394924689479929
2022-2-15,19539719.0,29909.5,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",25512808.0,32132.0,794.0,13566630.0,27687.0,490.0,,-0.002725650219212117,-0.002734107997265922
2022-1-15,19593123.0,29991.5,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",25581886.0,32219.0,794.0,13604360.0,27764.0,490.0,,-0.0038280158227297356,-0.0038363171355498826
2021-12-15,19668414.0,30107.0,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",25679548.0,32342.0,794.0,13657280.0,27872.0,490.0,,-0.0063595088201167105,-0.006369636963696412
2021-11-15,19794296.0,30300.0,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",25843112.0,32548.0,794.0,13745480.0,28052.0,490.0,,-0.009750514790461073,-0.009755380165694438
2021-10-15,19989201.0,30598.5,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",26097192.0,32868.0,794.0,13881210.0,28329.0,490.0,,-0.010097164902020506,-0.01010966969687166
2021-9-15,20193094.0,30911.0,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",26362388.0,33202.0,794.0,14023800.0,28620.0,490.0,,0.14882202341815542,0.12426121587953953
2021-8-15,17577217.0,27494.5,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",21442764.0,27006.0,794.0,13711670.0,27983.0,490.0,,0.003430127913069736,0.0020044097013429685
2021-7-15,17517131.0,27439.5,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",21269672.0,26788.0,794.0,13764590.0,28091.0,490.0,,-0.0021264681454171708,-0.0021274274492690814
2021-6-15,17554460.0,27498.0,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",21314930.0,26845.0,794.0,13793990.0,28151.0,490.0,,0.010741190015515878,0.010732926560317546
2021-5-15,17367908.0,27206.0,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",21087846.0,26559.0,794.0,13647970.0,27853.0,490.0,,-0.00161508355597062,-0.0016146788990826222
2021-4-15,17396004.0,27250.0,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",21121988.0,26602.0,794.0,13670020.0,27898.0,490.0,,0.014408255961104954,0.014406432639690214
2021-3-15,17148918.0,26863.0,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",20821856.0,26224.0,794.0,13475980.0,27502.0,490.0,,,
2021-2-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2021-1-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2020-12-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
2020-11-15,,,"GRAND VICTORIA II(Block 6,GRAND VICTORIA),LAI YING ST|維港滙,6座(維港滙 II),荔盈街",,,794.0,,,490.0,,,
