,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_change,npsf_change
2019-12-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8043036.0,22404.0,359.0,7272320.0,20660.0,352.0,12075360.0,22870.0,528.0,10351294.0,22454.0,461.0,7434886.0,21062.0,353.0,7488250.0,21395.0,350.0,7501550.0,21433.0,350.0,7551882.0,21333.0,354.0,7661940.0,20163.0,380.0,11365808.0,21608.0,526.0,,
2019-11-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8181251.0,22789.0,359.0,7397632.0,21016.0,352.0,12283392.0,23264.0,528.0,10531084.0,22844.0,461.0,7564437.0,21429.0,353.0,7618799.999999999,21768.0,350.0,7631750.0,21805.0,350.0,7682862.0,21703.0,354.0,7794940.0,20513.0,380.0,11563584.0,21984.0,526.0,,
2019-10-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,7967287.0,22193.0,359.0,7204736.0,20468.0,352.0,11962895.999999998,22657.0,528.0,10257710.999999998,22251.0,461.0,7368169.0,20873.0,353.0,7421050.0,21203.0,350.0,7433300.0,21238.0,350.0,7483206.0,21139.0,354.0,7592020.0,19979.0,380.0,11263764.0,21414.0,526.0,,
2019-9-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8202073.0,22847.0,359.0,7417344.0,21072.0,352.0,12315600.0,23325.0,528.0,10559666.0,22906.0,461.0,7584911.0,21487.0,353.0,7639450.0,21827.0,350.0,7652050.0,21863.0,350.0,7703394.0,21761.0,354.0,7931360.0,20872.0,380.0,11595144.0,22044.0,526.0,,
2019-8-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8463425.0,23575.0,359.0,7652832.0,21741.0,352.0,12707376.0,24067.0,528.0,10893891.0,23631.0,461.0,7824951.0,22167.0,353.0,7881300.0,22518.0,350.0,7894600.0,22556.0,350.0,7947654.0,22451.0,354.0,8182540.0,21533.0,380.0,11961766.0,22741.0,526.0,,
2019-7-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8444757.0,23523.0,359.0,7635584.0,21692.0,352.0,12678864.0,24013.0,528.0,10868075.0,23575.0,461.0,7805889.0,22113.0,353.0,7862400.0,22464.0,350.0,7876050.0,22503.0,350.0,7928892.0,22398.0,354.0,8163160.0,21482.0,380.0,11933362.0,22687.0,526.0,,
2019-6-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8421781.0,23459.0,359.0,7614112.0,21631.0,352.0,12642960.0,23945.0,528.0,10836266.0,23506.0,461.0,7782590.999999999,22047.0,353.0,7838950.0,22397.0,350.0,7853300.0,22438.0,350.0,7905882.0,22333.0,354.0,8139220.0,21419.0,380.0,11897594.0,22619.0,526.0,,
2019-5-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8500402.0,23678.0,359.0,7684512.0,21831.0,352.0,12760176.0,24167.0,528.0,10935381.0,23721.0,461.0,7853191.0,22247.0,353.0,7910350.0,22601.0,350.0,7925050.0,22643.0,350.0,7978098.0,22537.0,354.0,8213700.0,21615.0,380.0,12005950.0,22825.0,526.0,,
2019-4-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8347109.0,23251.0,359.0,7545472.0,21436.0,352.0,12529968.0,23731.0,528.0,10736690.0,23290.0,461.0,7710226.000000001,21842.0,353.0,7766150.0,22189.0,350.0,7781200.0,22232.0,350.0,7833312.0,22128.0,354.0,8064360.0,21222.0,380.0,11787134.0,22409.0,526.0,,
2019-3-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,8144633.0,22687.0,359.0,7361728.0,20914.0,352.0,12224784.0,23153.0,528.0,10473920.0,22720.0,461.0,7521018.0,21306.0,353.0,7575750.0,21645.0,350.0,7590800.0,21688.0,350.0,7641798.0,21587.0,354.0,7866760.0,20702.0,380.0,11498360.0,21860.0,526.0,,
2019-2-15,,,11,,,5528,"CULLINAN WEST III(Phase 5),Block 7,SHAM MONG RD|匯璽III5期,7座,深旺道",,,1515.0,7957953.0,22167.0,359.0,7192416.0,20433.0,352.0,11943888.0,22621.0,528.0,10231895.0,22195.0,461.0,7346989.0,20813.0,353.0,7400750.0,21145.0,350.0,7415800.0,21188.0,350.0,7465506.0,21089.0,354.0,7685120.0,20224.0,380.0,11232204.0,21354.0,526.0,,
