,1,2,3,4,5,6,7,8,A1
7.0,13322,13399,13402,13505,13221,13178,13754,13255,13634
16.0,13571,13674,13661,13784,13710,13651,14224,13774,13797
25.0,13958,14426,13966,14109,14347,14314,14035,14298,14109
