,1,2,3,4,5,6,7,8
7.0,16030,15941,16370,16617,15595,15938,17208,16483
18.0,16413,16690,16635,17478,16287,16410,17685,17280
29.0,16627,16978,17501,18418,17245,17070,18502,18525
