,A,B,C,D,E,F,G,H,J,K,L,M
6.0,365,365,400,375,415,415,375,375,285,415,375,390
13.0,365,365,400,375,415,415,375,375,285,415,375,390
20.0,365,365,400,375,415,415,375,375,285,415,375,390
