,A,B,C,D,E,F,G,H,J,K,L,M
6.0,4804860,4372335,5159200,4872000,5373420,5373420,4668375,4988625,3998265,5445630,4487625,5108220
13.0,4951955,4620535,5314400,5021625,5537345,5537345,4711125,5122500,4126800,5537345,4672875,5160090
20.0,5114015,4820555,5464000,5188875,5739450,5739450,4750125,5260875,4272150,5739450,4875750,5194410
