,subjFloor,floorLv,unitNo,price,npsf,nfa
6.0/F低層A,6.0,低層,A,4804860,13164,365
13.0/F中層A,13.0,中層,A,4951955,13567,365
20.0/F高層A,20.0,高層,A,5114015,14011,365
6.0/F低層B,6.0,低層,B,4372335,11979,365
13.0/F中層B,13.0,中層,B,4620535,12659,365
20.0/F高層B,20.0,高層,B,4820555,13207,365
6.0/F低層C,6.0,低層,C,5159200,12898,400
13.0/F中層C,13.0,中層,C,5314400,13286,400
20.0/F高層C,20.0,高層,C,5464000,13660,400
6.0/F低層D,6.0,低層,D,4872000,12992,375
13.0/F中層D,13.0,中層,D,5021625,13391,375
20.0/F高層D,20.0,高層,D,5188875,13837,375
6.0/F低層E,6.0,低層,E,5373420,12948,415
13.0/F中層E,13.0,中層,E,5537345,13343,415
20.0/F高層E,20.0,高層,E,5739450,13830,415
6.0/F低層F,6.0,低層,F,5373420,12948,415
13.0/F中層F,13.0,中層,F,5537345,13343,415
20.0/F高層F,20.0,高層,F,5739450,13830,415
6.0/F低層G,6.0,低層,G,4668375,12449,375
13.0/F中層G,13.0,中層,G,4711125,12563,375
20.0/F高層G,20.0,高層,G,4750125,12667,375
6.0/F低層H,6.0,低層,H,4988625,13303,375
13.0/F中層H,13.0,中層,H,5122500,13660,375
20.0/F高層H,20.0,高層,H,5260875,14029,375
6.0/F低層J,6.0,低層,J,3998265,14029,285
13.0/F中層J,13.0,中層,J,4126800,14480,285
20.0/F高層J,20.0,高層,J,4272150,14990,285
6.0/F低層K,6.0,低層,K,5445630,13122,415
13.0/F中層K,13.0,中層,K,5537345,13343,415
20.0/F高層K,20.0,高層,K,5739450,13830,415
6.0/F低層L,6.0,低層,L,4487625,11967,375
13.0/F中層L,13.0,中層,L,4672875,12461,375
20.0/F高層L,20.0,高層,L,4875750,13002,375
6.0/F低層M,6.0,低層,M,5108220,13098,390
13.0/F中層M,13.0,中層,M,5160090,13231,390
20.0/F高層M,20.0,高層,M,5194410,13319,390
