,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8860627.909090908,18632.454545454544,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",16892862.0,21169.0,798.0,8998400.0,17575.0,512.0,9378364.0,18682.0,502.0,9811098.0,19701.0,498.0,9778770.0,18210.0,537.0,9053200.0,17410.0,520.0,7796700.0,17326.0,450.0,4882674.0,20602.0,237.0,6486304.0,18427.0,352.0,6418300.0,18338.0,350.0,7970235.0,17517.0,455.0,,-0.05606462568520665,-0.056067535266728474
2020-11-15,9386901.0,19739.18181818182,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17895948.0,22426.0,798.0,9532928.0,18619.0,512.0,9935584.0,19792.0,502.0,10393758.0,20871.0,498.0,10359267.0,19291.0,537.0,9591400.0,18445.0,520.0,8259750.0,18355.0,450.0,5172999.0,21827.0,237.0,6871392.000000001,19521.0,352.0,6799450.0,19427.0,350.0,8443435.0,18557.0,455.0,,0.036120899928010486,0.03610830104407259
2020-10-15,9059658.0,19051.272727272728,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17271114.0,21643.0,798.0,9199616.0,17968.0,512.0,9589204.0,19102.0,502.0,10031712.0,20144.0,498.0,9997329.0,18617.0,537.0,9257560.0,17803.0,520.0,7972200.0,17716.0,450.0,4993116.0,21068.0,237.0,6632032.000000001,18841.0,352.0,6562850.0,18751.0,350.0,8149504.999999999,17911.0,455.0,,-0.015495992450151874,-0.015507481267469925
2020-9-15,9202256.090909092,19351.363636363636,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17542434.0,21983.0,798.0,9343488.0,18249.0,512.0,9740306.0,19403.0,502.0,10189578.0,20461.0,498.0,10153596.0,18908.0,537.0,9404200.0,18085.0,520.0,8097750.0,17995.0,450.0,5072274.0,21402.0,237.0,6736576.0,19138.0,352.0,6666800.0,19048.0,350.0,8277815.0,18193.0,455.0,,0.033797809392524414,0.033781913369498096
2020-8-15,8901408.0,18719.0,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",16967874.0,21263.0,798.0,9036800.0,17650.0,512.0,9422038.0,18769.0,502.0,9856914.0,19793.0,498.0,9820656.0,18288.0,537.0,9097400.0,17495.0,520.0,7833150.0,17407.0,450.0,4907085.0,20705.0,237.0,6516576.0,18513.0,352.0,6449449.999999999,18427.0,350.0,8007545.0,17599.0,455.0,,-0.05879838792956349,-0.05880927893954979
2020-7-15,9457493.363636363,19888.636363636364,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",18026820.0,22590.0,798.0,9600512.0,18751.0,512.0,10010884.0,19942.0,502.0,10472940.0,21030.0,498.0,10432836.0,19428.0,537.0,9666800.0,18590.0,520.0,8322750.000000001,18495.0,450.0,5214000.0,22000.0,237.0,6923840.0,19670.0,352.0,6852999.999999999,19580.0,350.0,8508045.0,18699.0,455.0,,0.007491209498052598,0.007478666918411703
2020-6-15,9387172.090909092,19741.0,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17891958.0,22421.0,798.0,9527808.0,18609.0,512.0,9937090.0,19795.0,502.0,10395252.0,20874.0,498.0,10354434.0,19282.0,537.0,9595560.0,18453.0,520.0,8261100.0,18358.0,450.0,5175843.0,21839.0,237.0,6872448.0,19524.0,352.0,6802600.0,19436.0,350.0,8444800.0,18560.0,455.0,,0.010123362173450445,0.010108011052293753
2020-5-15,9293094.727272727,19543.454545454544,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17711610.0,22195.0,798.0,9431552.0,18421.0,512.0,9837694.0,19597.0,502.0,10291170.0,20665.0,498.0,10249182.0,19086.0,537.0,9500400.0,18270.0,520.0,8178300.0,18174.0,450.0,5124651.0,21623.0,237.0,6803808.0,19329.0,352.0,6735050.0,19243.0,350.0,8360625.000000001,18375.0,455.0,,0.030054174051897586,0.030041972516626103
2020-4-15,9021947.545454545,18973.454545454544,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17193708.0,21546.0,798.0,9155072.0,17881.0,512.0,9550550.0,19025.0,502.0,9991374.0,20063.0,498.0,9949536.0,18528.0,537.0,9224280.0,17739.0,520.0,7940250.0,17645.0,450.0,4975578.0,20994.0,237.0,6605280.000000001,18765.0,352.0,6539050.0,18683.0,350.0,8116744.999999999,17839.0,455.0,,-0.025709645826089145,-0.025726009364248736
2020-3-15,9260019.363636363,19474.454545454544,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17646174.0,22113.0,798.0,9395712.0,18351.0,512.0,9803056.0,19528.0,502.0,10255314.0,20593.0,498.0,10210518.0,19014.0,537.0,9468680.0,18209.0,520.0,8149950.0,18111.0,450.0,5107587.0,21551.0,237.0,6779872.0,19261.0,352.0,6712300.0,19178.0,350.0,8331050.000000001,18310.0,455.0,,0.018695799078725317,0.018683722478481934
2020-2-15,9090073.181818182,19117.272727272728,"MONTEGO BAY(Block 5),SHUNG SHUN ST|蔚藍東岸5座,崇信街",17321388.0,21706.0,798.0,9222656.0,18013.0,512.0,9623340.0,19170.0,502.0,10067070.0,20215.0,498.0,10022031.0,18663.0,537.0,9295520.0,17876.0,520.0,8000550.0,17779.0,450.0,5014209.0,21157.0,237.0,6655616.0,18908.0,352.0,6589800.0,18828.0,350.0,8178625.0,17975.0,455.0,,-0.002181959710828796,-0.002196884504609642
