,1,2,3,4,5,6,7,8
8.0,8216,8216,8216,7536,8265,8132,8166,7257
22.0,8626,8626,8626,7714,8685,8545,8580,7484
34.0,7874,7874,7874,7825,9113,7950,8266,7641
