,A,B,C,D,E,F,G,H
15.0,11212,11410,11176,11237,11629,11176,12204,11645
32.0,11494,10978,11982,11618,12300,11671,10446,11998
50.0,12154,11707,12663,11640,11956,12119,11247,12747
