,A,A-B,AB,B,C,C & D,D,E,F,G,G & H,GH,H
7.0,651,,,639,556,1115,559,457,454,556,1112,1112,559
20.0,648,,,639,556,1115,556,457,454,556,1112,1112,556
32.0,648,,,639,556,1115,556,457,454,556,1112,1112,556
