,1,2,3,4,5,6,7,8
7.0,4460300,4451200,3968052,3897212,4437550,4460300,3789434,3952366
20.0,4804150,4753450,4236738,4223582,4740450,4804150,4173488,4317192
32.0,5081050,5120050,4489232,4523134,5074550,5081050,4481136,4522122
