,A,A & B,A-B,AB,B,C,C & D,C-D,CD,D,E,E & F,E&F,E-F,EF,F,G,G & H,G H,GH,H
7.0,6099219,4912479,4912479,4912479,5964426,6098764,5703448,5703448,5703448,5457517,5033398,6430749,6430749,6430749,6430749,5112948,5669532,5690960,5703448,5703448,5331742
20.0,6144336,5208489,5208489,5208489,5742693,5467148,6417352,6417352,6417352,5983116,5106518,6468100,6468100,6468100,6468100,4650776,5474376,6411250,6417352,6417352,5585576
32.0,6459264,5481333,5481333,5481333,6877557,5925848,6644200,6644200,6644200,6146024,5268296,6711337,6711337,6711337,6711337,5083892,5488832,6603030,6644200,6644200,5766276
