,A,A-B,AB,B,C,C & D,D,E,F,G,G & H,GH,H
7.0,5886342,,,5853879,5429340,5601760,5607888,4507848,4778804,5586688,5616712,5616712,5540249
20.0,6524712,,,6032799,5763496,5910615,5605036,4924632,4906832,5296456,5922512,5922512,5553328
32.0,6316056,,,6146541,5331484,6169295,5675648,4882588,5089340,5669532,6174936,6174936,5508848
