,10,11,12,13,14,15,6,7
6.0,2424982,2156464,2311695,2338344,2313810,2564212,2332424,2120076
12.0,2503836,2218368,2384874,2414061,2414061,2647512,2408320,2188096
20.0,2392643,2296808,2333691,2305350,2305350,2532320,2325216,2275090
