,A,B,C,D,E,F,G,H,I,J,K,L
2.0,3000108,2812010,2838780,2747700,2784650,2784650,2784650,2751525,2880514,2892465,2868886,3043716
4.0,3030732,2840530,2867760,2775600,2813015,2873405,2813015,2778930,2909584,2928641,2897956,3074862
6.0,3060312,2868430,2895795,2802600,2840465,2840465,2840465,2805705,2938008,2950605,2926380,3104934
