,A,B,C,D,E,F,G,H,J,K,L,M,N
15.0,945,333,471,594,594,607,522,722,391,468,771,803,758
29.0,962,333,830,594,594,607,522,722,391,468,771,803,758
43.0,962,333,830,594,594,607,522,722,391,468,771,803,758
