,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q
4.0,4761306,4980757,3262232,3507882,4761306,4995900,3611023,3468768,3553615,5166525,4561680,3491698,3535626,4761306,5063373
10.0,4834698,5152724,3352689,3622615,4834698,5279365,3733613,3580272,3663946,5324410,4716475,3626372,3652382,4834698,5221421
17.0,4781400,5348488,3524933,3750642,4990656,5359900,3889392,3706680,3755141,5504135,4936010,3398929,3783877,4781400,5303139
