,A,B,C,D,E,F,G,H,J,K,L,M,N
15.0,18247,22152,19045,17439,19259,18879,19555,20800,20936,18975,21270,18124,18654
29.0,19963,24240,20443,20796,20596,19903,20066,21735,24356,20916,21478,20841,22456
43.0,23400,25839,22520,22900,21777,21467,21210,23480,24473,23048,23656,24060,24237
