,A,B,C,D,E,F,G,H,J,K,L
8.0,14814674,9773120,9755668,9981840,8954427,7805103,10147704,8838180,9459020,11040648,9222952
20.0,16503800,14452305,15286962,11486796,14952070,13718960,14465729,10097745,9759315,11559864,9596008
32.0,17391686,15529530,16027959,12455424,15877958,14283406,15130727,10692745,10287965,13004760,10121288
