,A,B,C,D,E,F,whole floor
3.0,3371685,3086520,3086520,3112245,2712525,2813120,2813120
5.0,3399285,3117800,3117800,3143640,2739960,2951770,2841735
7.0,3432750,3148740,3148740,3175035,2749400,2658245,2870055
