,A,B,D,E,F,G,H,I,J,K,L,M,N
2.0,9385,9162,9136,9136,9149,9299,9370,9669,9592,9032,8859,8947,8835
4.0,9490,9265,9240,9240,9273,9391,9476,9766,9699,9113,8939,9027,8914
7.0,9638,9410,9417,9384,9416,9727,9623,9897,8968,9235,9027,9147,9032
