,A1,A10,A11,A12,A13,A14,A2,A4,A5,A6,A7,A8,A9
2.0,2351580,2244480,2007000,2211573,2306700,2054325,2244480,2244480,2131290,2244480,2137410,2136498,2078054
4.0,2375670,2267160,2032500,2234232,2253350,2075395,2267160,2267160,2152965,2267160,2171070,2267160,2172090
7.0,2409330,2300760,2065000,2267265,2286350,2042320,2300760,2300760,2174640,2338280,2189940,2300760,2205240
