,A,B,C,D,E,F,G,H,J,K
3.0,13061,10772,13064,12888,13007,13102,11146,10772,11036,12985
6.0,13233,10947,13240,13060,13182,13277,11205,10947,11230,13159
10.0,12960,11168,12878,12701,12747,12634,11403,11168,11500,11606
