,A,B,C,D,E,F,G,H,J,K,L
8.0,16702,17452,17452,17512,17187,17079,17258,16367,17356,15863,17207
20.0,17900,18179,18134,18061,17570,17840,17881,16971,17907,16609,17903
32.0,18863,19534,19013,19584,18658,18574,18703,17971,18877,18685,18883
