,1,2,3,4,5,6,7,8
5.0,11897,11839,11794,12205,11897,11943,12288,10910
13.0,12430,12368,12347,12762,12430,12473,12833,11311
22.0,12989,12922,13145,12996,12989,13031,13409,11766
