,A,B,C,D,E,F,G,H,I,J,K,L,M,N
3.0,10497,11995,12294,12093,12093,11242,12022,10835,10806,12600,12437,12121,12703,11826
6.0,10670,12172,12474,12270,12270,11413,12199,10990,12047,12782,12622,12299,12884,12000
10.0,12516,12419,12724,12516,12516,11651,12441,11212,12091,13108,12877,12545,13137,12644
