,A,B,C,D,E,F,G,H,I,J,K
2.0,8298,8634,8634,8634,8310,9370,9370,8802,9370,9370,8788
4.0,8382,8719,8719,8719,8394,9464,9464,8889,9464,9464,8875
7.0,8506,8848,8848,8848,8519,9605,9605,9021,9605,9605,9007
