,A,B,C,D,E,F,G,H,H1H2,J,K,L,M,N,P,Q,R,S,T,U,V
4.0,4147500,4751880,3555690,3096040,4793150,4709835,3550720,3574400,3620547,3605195,3566255,3965980,3566255,3666240,3825600,4747752,4754400,3535680,3529010,4751880,4751880
10.0,4280220,4162620,3665310,3193190,4247025,4171580,3537280,3678720,3731748,3688680,3650035,4124985,3675405,3775040,3956800,4886625,4900980,3644140,3636890,4209240,4209240
17.0,4425540,4300800,3751150,3561490,4386425,4308945,3676480,3675840,3976269,3917600,3743845,4220565,3916420,3840960,4080320,5154300,5053020,3868890,3873820,4347840,4347840
