,A,B,C,D,E,F,G,H,HJ,J
9.0,6051010,4990044,4729140,5787518,5764380,4759120,4843836,5805480,13360606,5941364
17.0,6357350,5185331,4808862,6120504,6100887,4905800,5034532,6139790,13938036,6318257
25.0,6613870,4952320,5029452,6286997,6261847,5003840,5227592,6307450,14516488,6490418
