,A,B,C,D,E,F,G,H,H1H2,J,K,L,M,N,P,Q,R,S,T,U,V
4.0,420,420,290,290,425,415,320,320,303,295,295,295,295,320,320,414,420,290,290,420,420
10.0,420,420,290,290,425,415,320,320,303,295,295,295,295,320,320,415,420,290,290,420,420
17.0,420,420,290,290,425,415,320,320,303,295,295,295,295,320,320,415,420,290,290,420,420
