,A,B,C,D,E,F,G,H,J,K,L
2.0,10159,11113,10159,10180,10187,10245,10198,10041,9445,10276,10144
4.0,10263,11222,10263,10263,10291,10350,10302,10144,9542,10382,10248
7.0,10414,11379,10414,10414,10442,10502,10453,10293,9697,10534,10398
