,A,B,C,D,E,F,G,H,J,K,L
2.0,6806530,6112150,6806530,6464300,6377062,5993325,6220780,6486486,6573720,6597192,7100800
4.0,6876210,6172100,6876210,6876210,6442166,6054750,6284220,6553024,6641232,6665244,7173600
7.0,6977380,6258450,6977380,6977380,6536692,6143670,6376330,6649278,6749112,6762828,7278600
