,B,C,D,E,F,G,H,I,J
2.0,4903388,4888068,4741120,4857344,4857344,4857344,4958208,4857344,4766320
4.0,4953116,4937604,4789248,4906496,4906496,4906496,4906496,4906496,4816240
7.0,5028226,5012424,4517408,4981248,4981248,4981248,4981248,4981248,4893200
