,1,2,3,4,5,6,7,8
7.0,10501,10501,11601,11551,10226,10148,11767,10705
20.0,10765,10765,11259,11329,10748,10554,11215,11265
33.0,11419,11419,11816,12046,11415,11374,11629,11682
