,A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,Q,R,S,whole floor
3.0,375,374,375,374,375,374,354,359,368,404,317,267,371,370,371,370,345,355,374
6.0,375,374,375,374,375,374,354,359,368,530,318,267,371,370,371,370,345,355,355
9.0,375,374,375,374,375,374,354,359,368,530,318,267,371,370,371,370,345,355,370
