,A,C,D,E,F,F.P.,G,R.P.
2.0,10074,9980,10097,10292,10479,9980,10097,10678
4.0,10177,10082,10200,10399,10590,10082,10679,11085
7.0,10355,10235,10355,10566,10757,10235,10849,11244
