,B1,B10,B11,B12,B13,B14,B15,B16,B17,B18,B2,B3,B4,B5,B6,B7,B8,B9
2.0,2461480,2476000,2350117,2433705,2309637,2361081,2350117,2433705,2350117,2572800,2592310,2344356,2421237,2344356,2431338,2387084,2464395,2545200
4.0,2534280,2502750,2374405,2458536,2336455,2310351,2374405,2458536,2374405,2538752,2618410,2368296,2445807,2368296,2501499,2411290,2488905,2571000
7.0,2570120,2598000,2410584,2447055,2361249,2395791,2410584,2447055,2410584,2575872,2657270,2404584,2482389,2404584,2603055,2447732,2526810,2650800
